usuario_id,municipio,cargo,data_criacao_cadastro
a034d9fc-d54a-4a89-bdef-2e596af3a856,São Roque - SP,Coordenação de Equipe,23/3/2023
877b90f4-d597-4348-a2e7-e29c4f3b3f4e,Marechal Thaumaturgo - AC,Coordenação APS,24/10/2023
83d92bea-1688-4fb0-8332-b9e54d97d3ec,Jacobina - BA,Coordenação de Equipe,4/4/2023
62009c46-5bb3-43d0-b510-18bf0a176bab,Santa Luz - PI,Coordenação de Equipe,25/5/2023
91e21d61-6a57-4e85-9d6b-b009bc677e59,Brejo de Areia - MA,Coordenação de Equipe,29/8/2023
9d2e6a1f-744e-433f-a2cf-cc8398e2f719,Itabira - MG,Coordenação de Equipe,12/7/2023
a62fe3d3-5ffd-477a-8016-d8dc2a960f88,Brasiléia - AC,Coordenação de Equipe,28/11/2023
4d97e0da-7c34-4dc4-b997-6bcb352124cb,Balneário Piçarras - SC,Coordenação APS,29/8/2023
5d477919-6507-47ce-9529-d91a483427ab,Três Marias - MG,Coordenação de Equipe,10/11/2022
e4ab363e-edbe-4ee5-b85b-4843b2b5b647,Goiabeira - MG,Coordenação APS,20/7/2023
10594f57-d3ac-4149-a3ef-62776a5a89db,Campos Novos - SC,Coordenação de Equipe,14/11/2023
cc2a1910-e594-43fe-a065-6d73f04de241,Betânia - PE,Coordenação de Equipe,14/8/2023
bde91d71-2c92-4743-88a2-6b4e7723a262,Monsenhor Tabosa - CE,Coordenação de Equipe,21/2/2024
e27a6b81-09c8-46d0-958d-54cbfcaf687c,Paes Landim - PI,Coordenação de Equipe,9/5/2023
0d458f4d-cf99-444c-ab8c-0b617348de0e,Itabira - MG,Coordenação de Equipe,7/7/2023
54e16810-44be-4c92-ada8-04b2c32a820e,Goiabeira - MG,Coordenação de Equipe,20/7/2023
3a7871ea-298a-47be-b1c2-de6c39cdabe9,Amargosa - BA,Coordenação de Equipe,13/6/2024
3a2ccd1b-9763-4817-94a3-de256086b20f,Inhambupe - BA,Coordenação de Equipe,14/8/2023
09328a7a-21c0-42e2-8308-fa9a44c21d7a,Vitorino Freire - MA,Coordenação de Equipe,24/10/2023
b9f5b01f-0db0-48cf-a5e8-a33ce77c03b4,Jacobina - BA,Coordenação de Equipe,4/4/2023
64ffb167-f76a-45df-bf41-0d43912a14eb,Paes Landim - PI,Coordenação APS,9/5/2023
c97ee0e8-2899-4196-8b2d-8e0e5552caff,Vitorino Freire - MA,Coordenação de Equipe,24/10/2023
bacd8bae-d768-49dc-8b51-d6110ef0a85f,Sigefredo Pacheco - PI,Coordenação de Equipe,19/3/2024
602064bd-5326-4617-81ad-37aa915edb67,Oiapoque - AP,Coordenação de Equipe,13/6/2024
730f5592-7164-446e-9eec-2863f5877817,Jandaíra - BA,Coordenação de Equipe,30/6/2023
96d13f8d-c092-4a71-99b7-efaeba8ca6f0,Salvaterra - PA,Coordenação APS,14/5/2024
7c12c5cb-22cd-4eaa-b697-85cdef7ce8cd,Palmeira das Missões - RS,Coordenação de Equipe,24/10/2023
8119da23-8f8b-4686-863e-118fc3653a80,Campos Novos - SC,Coordenação de Equipe,14/11/2023
8f16f2e6-8b11-4761-b56e-83dd0e09f3b6,Palmeira das Missões - RS,Coordenação de Equipe,24/10/2023
11c1bba6-3c31-4531-9df4-6ebba059d54c,Jacobina - BA,Coordenação de Equipe,23/1/2024
f67a688f-12e9-4f83-89be-9e091e1315e0,Bonfim - RR,Coordenação de Equipe,4/4/2023
4f72175a-f48a-46e2-8fbc-48dcd4bcf304,Amargosa - BA,Coordenação de Equipe,13/6/2024
8ee504e2-995f-45f3-a205-8ff322269dc0,Chaves - PA,Coordenação de Equipe,30/11/2023
f17141af-4c13-4166-88a5-93596d84d8d5,Guapó - GO,Coordenação de Equipe,10/11/2022
739bb938-fbb4-4c9a-92a8-3aadb6ad0f91,Paulo Ramos - MA,Coordenação de Equipe,25/3/2024
8f5fdc2b-3024-4d01-9a41-a22dbcc7a4c8,Fartura do Piauí - PI,Coordenação de Equipe,4/4/2023
732384a4-a747-4e9e-b881-26fe1b0149b1,Oiapoque - AP,Coordenação APS,16/3/2023
